Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50301571;11,48524938;63,79185223;50301571 210100 - Virke Landsoverenskomsten
50326398;10,77713047;62,2755988;50326398 210100 - Virke Landsoverenskomsten
50325512;9,99915888;59,75614519;50325512 210100 - Virke Landsoverenskomsten
50326143;11,04671992;60,79870127;50326143 210100 - Virke Landsoverenskomsten
50353885;10,22175377;59,74097278;50353885 210100 - Virke Landsoverenskomsten
50303502;9,28953626;60,97111797;50303502 210100 - Virke Landsoverenskomsten
60004940;6,35153421;62,46481726;60004940 210100 - Virke Landsoverenskomsten
50340578;10,73238948;59,92188605;50340578 213100 - Virke Bok og Papiravtalen
50300035;9,4164394;58,8697064;50300035 210100 - Virke Landsoverenskomsten
50305487;15,41869118;68,69090422;50305487 210100 - Virke Landsoverenskomsten
50305759;10,77129631;59,73973385;50305759 213100 - Virke Bok og Papiravtalen
50006290;10,2054811;59,74263199;50006290 210100 - Virke Landsoverenskomsten
50009971;15,417176;68,696167;50009971 210100 - Virke Landsoverenskomsten
50010164;10,75790573;64,46087892;50010164 210100 - Virke Landsoverenskomsten
50251793;11,49162167;64,01124295;50251793 213100 - Virke Bok og Papiravtalen
50025349;7,172066181;62,26230546;50025349 210100 - Virke Landsoverenskomsten
50319510;5,32141581;60,46535836;50319510 210100 - Virke Landsoverenskomsten
50317834;11,17183406;60,14276055;50317834 210100 - Virke Landsoverenskomsten
50318337;9,84525266;63,29772823;50318337 210100 - Virke Landsoverenskomsten
50323358;10,83603085;59,7164168;50323358 210100 - Virke Landsoverenskomsten
50322523;10,75154397;59,91260664;50322523 210100 - Virke Landsoverenskomsten
50312153;9,61930924;59,17282715;50312153 210100 - Virke Landsoverenskomsten
50310047;6,986034655;62,38188131;50310047 210100 - Virke Landsoverenskomsten
50317237;7,8055011;58,67005387;50317237 210100 - Virke Landsoverenskomsten
50313091;7,17663853;62,73911748;50313091 213100 - Virke Bok og Papiravtalen
50316460;8,382709136;63,26061524;50316460 210100 - Virke Landsoverenskomsten
50316528;9,09625715;61,87684113;50316528 210100 - Virke Landsoverenskomsten
50316530;11,52038057;64,47019959;50316530 210100 - Virke Landsoverenskomsten
50313297;5,3246431;60,39292207;50313297 210100 - Virke Landsoverenskomsten
50314385;9,6034596;59,19655649;50314385 210100 - Virke Landsoverenskomsten
50027056;5,27218517;59,41368939;50027056 210200 - PU Virke Landsoverenskomsten
50313779;5,18758189;59,79649054;50313779 210100 - Virke Landsoverenskomsten
50324836;10,2210025;59,13079959;50324836 210100 - Virke Landsoverenskomsten
50325024;10,9199895;63,46964634;50325024 210100 - Virke Landsoverenskomsten
50307878;5,93648336;61,16455391;50307878 210100 - Virke Landsoverenskomsten
